,household_id,origin,destination,depart,home_zone_id,income,emp_15min
43265,1059006,2553,2721,7,2553,1815,43896.99286
43266,1059006,2721,2553,19,2553,1815,43896.99286
43267,1059258,2553,2494,11,2553,30756,43896.99286
43268,1059258,2494,2490,12,2553,30756,43896.99286
43269,1059258,2490,2553,12,2553,30756,43896.99286
43270,1060276,2553,2681,11,2553,15816,43896.99286
43271,1064470,2740,2553,11,2553,55358,43896.99286
43272,1066470,2553,2525,17,2553,19967,43896.99286
43273,1066470,2553,2602,8,2553,19967,43896.99286
43274,1066470,2602,2553,15,2553,19967,43896.99286
43275,1066470,2553,2740,5,2553,19967,43896.99286
43276,1066470,2593,2553,23,2553,19967,43896.99286
43277,1066701,2553,2518,7,2553,10358,43896.99286
43278,1066701,2518,2553,17,2553,10358,43896.99286
43279,1067942,2553,2491,15,2553,55125,43896.99286
43280,1067942,2491,2553,18,2553,55125,43896.99286
43281,1067942,2586,2553,18,2553,55125,43896.99286
43282,1073778,2553,2558,6,2553,39249,43896.99286
43283,1073778,2558,2553,10,2553,39249,43896.99286
43284,1076457,2553,2740,7,2553,47542,43896.99286
43285,1076457,2740,2553,18,2553,47542,43896.99286
43286,1077474,2553,2812,14,2553,62327,43896.99286
43287,1077474,2812,2735,14,2553,62327,43896.99286
43288,1077474,2735,2553,14,2553,62327,43896.99286
43289,1077498,2553,2484,12,2553,16301,43896.99286
43290,1077498,2484,2553,12,2553,16301,43896.99286
43291,1081873,2553,2748,13,2553,14806,43896.99286
43292,1081873,2586,2553,14,2553,14806,43896.99286
43293,1081873,2553,2694,12,2553,14806,43896.99286
43294,1081873,2694,2553,19,2553,14806,43896.99286
43295,1083341,2553,2495,9,2553,45413,43896.99286
43296,1083341,2593,2553,17,2553,45413,43896.99286
43297,1088710,2553,2705,8,2553,8519,43896.99286
43298,1088710,2705,2732,14,2553,8519,43896.99286
43299,1091047,2553,2490,12,2553,6204,43896.99286
43300,1091047,2586,2553,23,2553,6204,43896.99286
43301,1113647,2553,2525,10,2553,38117,43896.99286
43302,1113647,2525,2553,18,2553,38117,43896.99286
43303,1113647,2586,2553,10,2553,38117,43896.99286
43304,1113647,2651,2535,18,2553,38117,43896.99286
43305,1113647,2535,2553,18,2553,38117,43896.99286
43306,1113647,2553,2585,10,2553,38117,43896.99286
43307,1113647,2495,2553,12,2553,38117,43896.99286
43308,1124959,2553,2739,16,2553,109997,43896.99286
43309,1124959,2739,2593,16,2553,109997,43896.99286
43310,1124959,2593,2705,16,2553,109997,43896.99286
43311,1124959,2705,2553,16,2553,109997,43896.99286
43312,175616,2466,2717,5,2466,156860,28689.3381
43313,913431,2466,2740,13,2466,5218,28689.3381
43314,913431,2740,2593,14,2466,5218,28689.3381
43315,913431,2593,2466,14,2466,5218,28689.3381
43316,914005,2466,2581,9,2466,55339,28689.3381
43317,914005,2581,2466,11,2466,55339,28689.3381
43318,914237,2740,2741,13,2466,125120,28689.3381
43319,914237,2741,2495,13,2466,125120,28689.3381
43320,914237,2495,2466,13,2466,125120,28689.3381
43321,915118,2495,2466,7,2466,3094,28689.3381
43322,915118,2466,2471,8,2466,3094,28689.3381
43323,915118,2471,2466,15,2466,3094,28689.3381
43324,915118,2525,2490,17,2466,3094,28689.3381
43325,915118,2490,2466,17,2466,3094,28689.3381
43326,915704,2466,2369,11,2466,129010,28689.3381
43327,915704,2369,2466,18,2466,129010,28689.3381
43328,915704,2466,2420,7,2466,129010,28689.3381
43329,915704,2420,2466,10,2466,129010,28689.3381
43330,915704,2584,2466,11,2466,129010,28689.3381
43331,915704,2466,2995,12,2466,129010,28689.3381
43332,915704,2995,2466,23,2466,129010,28689.3381
43333,915706,2525,2466,18,2466,162272,28689.3381
43334,916406,2466,2799,14,2466,52211,28689.3381
43335,916406,2799,2623,16,2466,52211,28689.3381
43336,916406,2623,2586,18,2466,52211,28689.3381
43337,916406,2586,2466,18,2466,52211,28689.3381
43338,916853,2466,2476,13,2466,72518,28689.3381
43339,916853,2476,2466,14,2466,72518,28689.3381
43340,917332,2466,2736,8,2466,165293,28689.3381
43341,917332,2736,2709,8,2466,165293,28689.3381
43342,917332,2466,2542,8,2466,165293,28689.3381
43343,917332,2593,2666,21,2466,165293,28689.3381
43344,917332,2666,2604,21,2466,165293,28689.3381
