,trip_id,person_id,household_id,primary_purpose,trip_num,outbound,trip_count,destination,origin,tour_id,purpose,destination_logsum,depart,trip_mode,mode_choice_logsum,atap,btap,path_set
19994,2069666,6309,2477,work,2,True,2,96631,97136,258708,work,,8.0,SHARED3FREE,1.2771832300713246,,,
20024,2071589,6315,2480,shopping,1,False,2,94457,95919,258948,othmaint,21.177842250894937,16.0,SHARED3FREE,1.0537856388503437,,,
20049,2073365,6321,2482,escort,1,False,1,98312,179858,259170,home,,11.0,SHARED3FREE,0.4879357997933357,,,
20059,2074258,6323,2483,work,2,True,2,97861,97397,259282,work,,7.0,SHARED3FREE,-0.2702922502223229,,,
20072,2076165,6329,2485,school,1,False,1,93465,98937,259520,home,,15.0,SHARED3FREE,-2.538324320213453,,,
20083,2077541,6333,2486,work,1,False,4,99239,96176,259692,shopping,29.664694341494837,21.0,SHARED3FREE,0.3926657687088709,,,
20085,2077543,6333,2486,work,3,False,4,99399,96861,259692,eatout,20.63071822106362,21.0,SHARED3FREE,0.3072986711609698,,,
20154,2084944,6356,2497,social,4,False,4,95907,95416,260617,home,,21.0,SHARED3FREE,-0.4412176919948288,,,
20292,2098749,6398,2511,othdiscr,1,False,1,91740,93990,262343,home,,19.0,SHARED3FREE,1.2423489205690732,,,
20391,2110997,6435,2527,work,1,False,1,95667,98115,263874,home,,18.0,SHARED3FREE,-0.2183134338264331,,,
20404,2111896,6438,2528,othmaint,4,False,4,97526,95288,263986,home,,12.0,SHARED3FREE,3.1164842234420336,,,
20529,2125055,6478,2545,shopping,3,False,3,97417,96411,265631,home,,17.0,SHARED3FREE,0.3455458777840276,,,
20633,2135925,6511,2560,work,1,False,1,96001,96640,266990,home,,19.0,SHARED3FREE,1.7501498477157822,,,
20841,2156677,6575,2587,escort,1,False,1,97265,97859,269584,home,,14.0,SHARED3FREE,0.5595859871543061,,,
21125,2187045,6667,2624,shopping,1,False,1,95624,99350,273380,home,,17.0,SHARED3FREE,1.6462376100050842,,,
21204,2194194,6689,2633,othdiscr,2,True,2,96892,96178,274274,othdiscr,,9.0,SHARED3FREE,0.003468098668541,,,
21608,2237602,6821,2687,work,2,True,2,97876,98310,279700,work,,9.0,SHARED3FREE,0.9552746021451944,,,
21784,2253957,6871,2710,shopping,1,False,1,94789,97409,281744,home,,21.0,SHARED3FREE,0.5994154726372553,,,
21821,2258061,6884,2715,eatout,1,False,1,96412,96761,282257,home,,16.0,SHARED3FREE,0.3373037852050146,,,
22014,2275586,6937,2734,school,2,True,2,95447,95444,284448,school,,8.0,SHARED3FREE,-2.576946467612989,,,
22031,2277618,6943,2736,work,2,True,2,95233,94947,284702,work,,8.0,SHARED3FREE,-0.0780119805760164,,,
22062,2279807,6950,2739,othdiscr,3,False,3,92540,98106,284975,home,,17.0,SHARED3FREE,-0.2750901297703138,,,
22118,2285166,6966,2746,work,2,False,2,180812,96155,285645,home,,18.0,SHARED3FREE,0.0816341067997735,,,
22331,2305685,7029,2771,social,1,False,1,97417,97145,288210,home,,8.0,SHARED3FREE,-0.3857475196228625,,,
22504,2323824,7084,2795,shopping,4,False,4,97841,96900,290477,home,,13.0,SHARED3FREE,0.5285979336672909,,,
22728,2345517,7150,2824,work,1,False,1,95938,97399,293189,home,,16.0,SHARED3FREE,1.3370951086749707,,,
22880,2362306,7202,2844,eatout,2,True,2,95255,94586,295288,eatout,,19.0,SHARED3FREE,0.2631559168212887,,,
22885,2362901,7203,2845,work,1,False,1,96866,96644,295362,home,,12.0,SHARED3FREE,2.905828336188977,,,
23007,2375253,7241,2861,othdiscr,1,False,1,96405,94185,296906,home,,16.0,SHARED3FREE,0.2426878943555708,,,
23203,2398322,7311,2891,work,2,True,2,96635,97851,299790,work,,9.0,SHARED3FREE,0.1152045543850129,,,
23301,2409037,7344,2904,othdiscr,1,False,1,98101,97609,301129,home,,21.0,SHARED3FREE,0.6652237836813335,,,
23329,2410742,7349,2905,shopping,2,False,3,95188,96634,301342,shopping,21.919967866784173,11.0,SHARED3FREE,1.1198350264946502,,,
23379,2414679,7361,2911,shopping,3,False,4,97853,96632,301834,othmaint,16.29043294576569,12.0,SHARED3FREE,0.578718807493453,,,
23430,2420017,7378,2917,atwork,1,True,1,179858,96127,302502,atwork,,13.0,SHARED3FREE,0.8514159612547885,,,
23678,2445178,7454,2946,shopping,2,True,2,95934,99028,305647,shopping,,15.0,SHARED3FREE,0.4092455330820105,,,
23737,2450849,7472,2954,atwork,1,True,1,96412,97503,306356,atwork,,9.0,SHARED3FREE,1.4618845190058587,,,
23827,2459986,7499,2967,work,2,True,2,99329,97424,307498,work,,11.0,SHARED3FREE,1.230116730533225,,,
24057,2482709,7569,2995,escort,1,False,2,99227,98795,310338,shopping,31.22996278269372,15.0,SHARED3FREE,0.3806387466477648,,,
24228,2499029,7618,3015,work,1,False,1,97287,95015,312378,home,,21.0,SHARED3FREE,1.32951899823852,,,
24348,2512074,7658,3031,univ,2,True,2,96414,96386,314009,univ,,19.0,SHARED3FREE,1.1048428441418072,,,
24566,2533725,7724,3058,univ,1,False,1,96406,95206,316715,home,,21.0,SHARED3FREE,0.1455263391259807,,,
24575,2534663,7727,3059,othdiscr,3,False,4,96055,99039,316832,shopping,14.96079580050607,17.0,SHARED3FREE,0.6373869599292007,,,
24640,2538664,7739,3064,shopping,4,False,4,94191,97135,317332,home,,15.0,SHARED3FREE,0.7666903340225594,,,
