FID,TAZ,SUBRAD,RAD,RADNUM,SUBAREAS,PUMA,Shape_STAr,Shape_STLe
1480,473,151,East Sacramento,14,2,Sac_6,6824150.11621,10608.5032127
1481,901,123,Rancho Cordova West,16,8,Sac_9,10616995.501,14126.2636732
1482,598,121,Rosemont,15,8,Sac_9,9169688.25195,12494.8879945
1483,775,135,Downtown,1,2,Sac_4,3043490.35449,7340.52934338
1484,556,171,Vineyard,20,8,Sac_9,37663370.7744,25795.3528
1485,1076,131,Downtown,1,2,Sac_4,1910709.21191,7264.57609684
1486,791,135,Downtown,1,2,Sac_4,2706690.94336,6588.93748493
1487,587,171,Vineyard,20,8,Sac_9,22453686.1338,23316.0469551
1488,606,171,Vineyard,20,8,Sac_9,23983953.7012,20955.7930677
1489,656,141,Land Park-Pocket-Meadowview,18,2,Sac_7,7206995.44922,10693.6809891
1490,779,131,Downtown,1,2,Sac_4,4607447.60742,8982.63753679
1491,1181,152,East Sacramento,14,3,Sac_6,7191545.23438,11203.996901
1492,527,152,East Sacramento,14,3,Sac_6,9012999.80273,12189.6599627
1493,850,861,Cameron Park-Shingle Springs,86,40,El Dorado,43034939.3955,37408.7041058
1494,1203,171,Vineyard,20,7,Sac_9,28597125.5977,21340.3742026
1495,589,151,Rosemont,15,9,Sac_5,9725754.08691,15828.1166023
1496,487,153,East Sacramento,14,3,Sac_6,12195956.0254,14533.7626041
1497,454,43,Citrus Heights,8,12,Sac_2,7946841.48828,11984.9340887
1498,608,170,Vineyard,20,7,Sac_9,28382315.0635,21301.7807495
1499,106,522,Davis,52,21,Yolo,23708684.9424,25935.4808868
1500,486,153,East Sacramento,14,3,Sac_6,15655406.3369,17232.6491866
1501,607,171,Vineyard,20,7,Sac_9,34103241.1357,27918.1885292
1502,668,141,Land Park-Pocket-Meadowview,18,3,Sac_7,12929600.4033,14595.528083
1503,793,135,Downtown,1,2,Sac_4,2029923.69727,5787.84392998
1504,317,31,Antelope-North Highlands,7,13,Sac_1,15210711.166,19284.2513901
1505,493,161,South Sacramento,19,3,Sac_8,14885583.668,16720.4976861
1506,1202,170,Vineyard,20,7,Sac_9,25734191.2275,21480.1482391
